id,cpr,pais,nam,fna,fuc,ose,iko,ita,ana,thr,nom_ciudad,x,y
15,Santa Cruz,Argentina,El Calafate,Aeropuerto de El Calafate Comandante Armando Tola,,London Supply S.A.C.I.FI.,SAWC,FTE,ECA,NAC,El Calafate,-72.05304518405136,-50.28034888947778
68,Tierra Del Fue,Argentina,Ushuaia,Aeropuerto de Ushuaia Malvinas Argentinas,,London Supply S.A.C.I.FI.,SAWH,USH,USU,INTL,Ushuaia,-68.30810498611865,-54.843586400884604
46,Santa cruz,Argentina,Rio Gallegos,Aeropuerto de RÃ­o Gallegos Piloto Civil Norberto FernÃḂndez,,AA2000,SAWG,RGL,GAL,INTL,RÃ­o Gallegos,-69.30791890262672,-51.60895079622087
47,Tierra Del Fue,Argentina,RÃ­o Grande,Aeropuerto de Rio Grande Gob. RamÃġn Trejo Noel,,AA2000,SAWE,RGA,GRA,INTL,RÃ­o Grande,-67.75308297707619,-53.777840238797936
17,Chubut,Argentina,Esquel,Aeropuerto de Esquel Brigadier General Antonio Parodi,,AA2000,SAVE,EQS,ESQ,NAC,Esquel,-71.13665178216398,-42.90470831072245
4,RÃ­o Negro,Argentina,San Carlos de Bariloche,Aeropuerto de San Carlos de Bariloche Teniente Luis Candelaria,,AA2000,SAZS,BRC,BAR,INTL,Bariloche,-71.1593078789764,-41.15031943377299
7,NeuquÃ©n,Argentina,San MartÃ­n de los Andes,Aeropuerto de Chapelco Aviador Carlos Campos,,Dir. Provincial de AeronÃḂutica de NeuquÃ©n,SAZY,CPC,CHP,NAC,Chapelco,-71.14068085201642,-40.07670104242249
33,NeuquÃ©n,Argentina,NeuquÃ©n,Aeropuerto de Neuquen Presidente PerÃġn,,Aeropuertos del NeuquÃ©n S.A,SAZN,NQN,NEU,INTL,NeuquÃ©n,-68.15443619906651,-38.94894621212032
59,Mendoza,Argentina,San Rafael,Aeropuerto de San Rafael Santiago Germano,,AA2000,SAMR,AFA,SRA,NAC,San Rafael,-68.40319986823552,-34.58831536958247
31,Mendoza,Argentina,Mendoza,Aeropuerto de Mendoza Francisco Gabrielli - El Plumerillo,con vuelos internacionales,AA2000,SAME,MDZ,DOZ,INTL,Mendoza,-68.79386104979281,-32.83040284073422
56,San Juan,Argentina,San Juan,Aeropuerto de San Juan Domingo Faustino Sarmiento,,AA2000,SANU,UAQ,JUA,NAC,San Juan,-68.41877525414593,-31.569910234098103
65,Chubut,Argentina,Trelew,Aeropuerto de Trelew Almirante Zar,,London Supply S.A.C.I.FI.,SAVT,REL,TRE,INTL,Trelew,-65.26869890641582,-43.211830378897574
41,Chubut,Argentina,Puerto Madryn,Aeropuerto de Puerto Madryn El Tehuelche,,AA2000,SAVY,PMY,DRY,NAC,Puerto Madryn,-65.10349769084932,-42.75881165830642
69,RÃ­o Negro,Argentina,Viedma,Aeropuerto de Viedma Gobernador Edgardo Castello,,AA2000,SAVV,VDM,VIE,NAC,Viedma,-62.99926721456352,-40.86989467228366
63,La Pampa,Argentina,Santa Rosa,Aeropuerto de Santa Rosa,,AA2000,SAZR,RSA,OSA,NAC,Santa Rosa,-64.27484507394487,-36.585780043063004
3,Buenos Aires,Argentina,BahÃ­a Blanca,Aeropuerto de BahÃ­a Blanca Comandante Espora,,Aeropuerto BahÃ­a Blanca S.A.,SAZB,BHI,BCA,NAC,BahÃ­a Blanca,-62.15379847934545,-38.7236753422101
32,Buenos Aires,Argentina,Necochea,Aeropuerto de Necochea Edgardo Hugo Yelpo,sin vuelos regulares,Provincia de Buenos Aires,SAZO,NEC,NEC,NAC,Necochea,-58.81389387676821,-38.489014031346635
30,Buenos Aires,Argentina,Mar del Plata,Aeropuerto de Mar del Plata Astor Piazzola,,AA2000,SAZM,MDQ,MDP,INTL,Mar del Plata,-57.574044997935644,-37.93211301775344
1,Capital Federa,Argentina,Buenos Aires,Aeroparque Jorge Newberry,con vuelos internacionales,AA2000,SABE,AEP,AER,INTL,Aeroparque,-58.413428,-34.560554
58,San Luis,Argentina,San Luis,Aeropuerto de San Luis Brigadier Mayor CÃ©sar Ojeda,,AA2000,SAOU,LUQ,UIS,NAC,San Luis,-66.35628053283388,-33.27308704479725
28,La Rioja,Argentina,La Rioja,Aeropuerto de La Rioja CapitÃḂn Vicente A. Almonacid,,AA2000,SANL,IRJ,LAR,NAC,La Rioja,-66.79234889357927,-29.37452466922506
10,CÃġrdoba,Argentina,CÃġrdoba,Aeropuerto de CÃġrdoba Ing. A. Taravella - Pajas Blancas,con vuelos internacionales,AA2000,SACO,COR,CBA,INTL,CÃġrdoba,-64.20820323418707,-31.31558087760009
6,Catamarca,Argentina,Catamarca,Aeropuerto de Catamarca Coronel Felipe Varela,,AA2000,SANC,CTC,CAT,NAC,Catamarca,-65.75271079001757,-28.594315545455707
67,Tucuman,Argentina,Tucuman,Aeropuerto de TucumÃḂn BenjamÃ­n Matienzo,,AA2000,SANT,TUC,TUC,INTL,San Miguel de TucumÃḂn,-65.10225446667454,-26.835503408966808
